,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
88마라탕,"마라탕(麻辣烫)
마라탕(麻辣烫)
대표
₩5,000부터 조리 가능합니다.
변동","이미지 준비중
매콤치킨(香辣鸡翅)🌶️
대표
변동","이미지 준비중
마라샹궈(麻辣香锅)
₩20,000부터 조리 가능합니다.
변동","이미지 준비중
샤브샤브(火锅)
변동","이미지 준비중
탕수육(锅包肉)
변동","마라가재볶음(麻辣小龙虾)🌶️
마라가재볶음(麻辣小龙虾)🌶️
변동","이미지 준비중
건두부고추볶음(尖椒干豆腐)
변동","이미지 준비중
계란토마토볶음(番茄柿子)
변동","이미지 준비중
마라새우(麻辣大虾)🌶️
변동","이미지 준비중
매운천엽볶음(辣炒牛肚)🌶️
변동","이미지 준비중
매운바지락볶음(辣炒蛤蜊)🌶️
변동",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동양식육점,"한우 특수부위1++
30,000원","한우 등심1++
26,000원","한우 차돌박이1++
18,000원","돼지 항정살
10,000원","돼지 가브리살
9,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꿀삐닭강정 경남대점,,,,,"꿀삐닭강정(1호 (반마리))
8,000원
주문하기","꿀삐닭강정(2호 (한마리))
14,000원
주문하기","꿀삐닭강정(3호 (한마리 반)치킨무서비스)
17,500원
주문하기","숯불닭강정(제일매운맛)(1호 (반마리))
8,500원
주문하기","숯불닭강정(제일매운맛)(2호 (한마리))
15,000원
주문하기","숯불닭강정(제일매운맛)(3호 (한마리 반)치킨무서비스)
18,500원
주문하기","어니언크림닭강정(1호 (반마리))
9,000원
주문하기","어니언크림닭강정(2호 (한마리))
15,000원
주문하기","어니언크림닭강정(3호 (한마리 반)치킨무서비스)
18,500원
주문하기","닭강정1호+치즈볼3ps+콜라500ml+무
14,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼첩분식 경남대점,"[바질크림] 떡볶이
[바질크림] 떡볶이
꾸덕한 크림과 바질 그리고 조금의 매콤함
9,900원","[삼첩] 떡볶이
[삼첩] 떡볶이
고춧가루의 얼큰함과 달달, 알싸한 국물
8,900원","[로제] 떡볶이
[로제] 떡볶이
풍미 가득 크림과 매콤한 국물의 만남
8,900원","[마라로제] 떡볶이
[마라로제] 떡볶이
얼얼한 마라와 꾸덕, 매콤한 로제의 조화
9,900원","모둠튀김
모둠튀김
떡볶이에 빠질 수 없다! 바삭한 모둠튀김
7,000원","대패삼겹 구이
대패삼겹 구이
야들야들 고소함이 폭발!
8,000원","순살치킨
순살치킨
부드러운 닭다리살로 튀겨낸!
9,000원","대구막창
대구막창
탱글탱글 쫄깃쫄깃 고소한 막창!
11,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
머스마롱 마산경남대점,"뚱카롱
뚱카롱
쫄깃하고 맛있는 뚱카롱 으로 매일 다양한 라인업을 선보이고 있습니다.
변동","이미지 준비중
마카롱
2,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석꾼 해운점,"꽃삼겹살
꽃삼겹살
대표
모듬구이 小 39.000 모듬구이 中 54.000 모듬구이 大 69.000 [꽃 삼겹살 + 꽃 목살 + 항정살 ]
8,000원","이미지 준비중
모듬 소 중 대
대표
모듬구이 小 39.000 모듬구이 中 54.000 모듬구이 大 69.000 [꽃 삼겹살 + 꽃 목살 + 항정살 ]
변동","이미지 준비중
꽃 목살
8,000원","이미지 준비중
항정살
10,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼숙이포차 본점,"모듬회
20,000원","자연산모듬회
40,000원","가자미회
40,000원","산낙지
10,000원","멍게
10,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
더하다 마산해운점,"숙성삼겹살
숙성삼겹살
2,990원","이미지 준비중
숙성오겹살
3,290원","이미지 준비중
숙성항정살
4,990원","이미지 준비중
숙성가브리살
4,990원","이미지 준비중
모듬A세트
19,900원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요와라와라 해운점,"(점심메뉴) 대패정식
6,000원","(점심메뉴) 파절이정식
6,000원","대패삼겹
2,900원","파절이삼겹
4,000원","생삼겹
7,000원","차돌박이
7,900원","가브리살
7,000원","모듬구이 小
25,000원","모듬구이 大
35,000원","된장찌개
4,000원","냉면
5,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신전떡볶이 경남대점,,,,,"떡볶이
3,500원
주문하기","튀 만두
1,500원
주문하기","튀 오뎅
1,500원
주문하기","잡채말이
1,500원
주문하기","김말이
1,500원
주문하기","치즈스틱(3개)
2,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맘스터치 경남대점,,,,,"핫치즈싸이순살
12,500원
주문하기","트리플딥치즈싸이버거 세트
7,000원
주문하기","쉬림프싸이플렉스버거 세트
8,300원
주문하기","딥치즈싸이버거 세트
6,700원
주문하기","화이트갈릭싸이버거 세트
6,800원
주문하기","싱글순살세트
14,100원
주문하기",,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주당포,"고추크림파스타
고추크림파스타
대표
파스타집보다 더 맛있는 주당포 파스타
13,900원","이미지 준비중
닭도리탕
대표
신선한 냉장닭을 사용, 주당포만의 레시피로 조리하여 더욱더 맛있습니다.
16,900원","이미지 준비중
크림파스타
파스타집보다 더 맛있는 주당포 파스타
13,900원","이미지 준비중
후라이드치킨
신선한 냉장닭과 특제 튀김반죽으로 맛있게 튀겨냈습니다.
15,900원","이미지 준비중
닭껍질튀김+감튀
바삭하고 고소한 닭껍질 튀김의 매력 한번 빠져 보세요. 덤으로 감자튀김도~!
14,900원","이미지 준비중
골뱅이쫄면
맛과 양 모두 의심하지 마세요~ 한번 먹어보면 그 매력에 빠져듭니다.
14,900원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
굽네치킨 마산월영점,,,,,,"허니멜로+콜라대
20,000원
주문하기","굽네 오리지널 세트
18,000원
주문하기","갈릭마왕+콜라대
20,000원
주문하기","양념 히어로+콜라대
20,000원
주문하기","굽네 고추바사삭 세트
20,000원
주문하기","굽네 갈비천왕 세트
20,000원
주문하기","굽네 볼케이노 세트
20,000원
주문하기","양념 반반+콜라대
20,000원
주문하기","시카고피자+콜라(대)
18,500원
주문하기","슈림프 시카고 딥디쉬 피자+콜라(대)
21,900원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도미노피자 마산월영점,,,,,"아메리칸 패티&멜트 L 오리지날도우
23,120원
주문하기","아메리칸 패티&멜트 M 오리지날도우
17,600원
주문하기","아메리칸 패티&멜트 L 나폴리도우
23,120원
주문하기","아메리칸 패티&멜트 M 나폴리도우
17,600원
주문하기","아메리칸 패티&멜트 L 씬도우
23,120원
주문하기","아메리칸 패티&멜트 M 씬도우
17,600원
주문하기","아메리칸 패티&멜트 L 슈퍼시드
24,720원
주문하기","아메리칸 패티&멜트 M 슈퍼시드
19,200원
주문하기","아메리칸 패티&멜트 치즈버스트 L 오리지날도우
27,120원
주문하기","아메리칸 패티&멜트 치즈버스트 L 나폴리도우
27,120원
주문하기","아메리칸 패티&멜트 L 더블치즈엣지
27,120원
주문하기","아메리칸 패티&멜트 M 더블치즈엣지
20,000원
주문하기",,,,,,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고성아지매딸찜,,,,,"생아구찜(중)
20,000원
주문하기","생아구찜(대)
25,000원
주문하기","생아구찜(특대)
30,000원
주문하기","생아구찜(소)
15,000원
주문하기","건아구찜(소)
18,000원
주문하기","건아구찜(중)
23,000원
주문하기","건아구찜(대)
28,000원
주문하기","건아구찜(특대)
33,000원
주문하기",,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고성아지매찜월영점,"생아구찜小
생아구찜小
18,000원","이미지 준비중
생아구찜中
23,000원","이미지 준비중
생아구찜大
28,000원","이미지 준비중
생아구찜특大
33,000원","이미지 준비중
건아구찜小
20,000원","이미지 준비중
건아구찜中
25,000원","이미지 준비중
건아구찜大
30,000원","이미지 준비중
대구찜小
20,000원","이미지 준비중
대구찜中
25,000원","이미지 준비중
대구찜大
30,000원","이미지 준비중
대구찜특大
33,000원","이미지 준비중
생아대찜中
25,000원","이미지 준비중
생아대찜大
30,000원","이미지 준비중
생아대찜특大
35,000원","이미지 준비중
곤이찜小
20,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구서방네손칼국수,,,,,"칼국수
5,500원
주문하기","들깨칼국수
7,500원
주문하기","수제비
5,500원
주문하기","충무김밥
6,000원
주문하기","김밥(1줄)
3,000원
주문하기","비빔칼국수
6,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
왕사부마라탕,,,,,"마라탕
12,000원
주문하기","마라샹궈(소)
15,000원
주문하기","마라샹궈(대)
25,000원
주문하기","계란볶음밥
5,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바른치킨 경남대점,"대새트리플
대새트리플
입맛대로 골라먹는 재미! 대새시리즈 3가지 맛을 한 번에 즐길 수 있는 대새트리플
31,900원","대새골드
대새골드
달콤한 스위트커리와 바삭한 콘후레이크 시즈닝이 만나 입안가득 풍미를 느낄 수 있는 대새치킨
22,900원","대새레드
대새레드
22,900원","대새블랙
대새블랙
22,900원","대새핫블랙
대새핫블랙
22,900원","팍뿌리까
팍뿌리까
팍팍! 뿌려 팍뿌리까! 매콤달콤한 파프리카 시즈닝과 멕시코 타코시즈닝이 조화로운 치킨
18,900원","현미바사삭
현미바사삭
16,900원","바른양념치킨
바른양념치킨
18,900원","통곡물 간장치킨
통곡물 간장치킨
18,900원","꿀마늘치킨
꿀마늘치킨
18,900원","달콤강정
달콤강정
18,900원","순덕이세트(혼자닭) - 1인
순덕이세트(혼자닭) - 1인
17,900원","순덕이세트(함께닭) - 2인
순덕이세트(함께닭) - 2인
26,400원","고김떡세트
고김떡세트
15,900원","바른크림떡볶이
바른크림떡볶이
9,900원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
느린,"수제 연유 라떼(hot/ice)
수제 연유 라떼(hot/ice)
캐러멜라이징 시킨 수제 연유의 달콤함과 스페셜티 에스프레소의 깊은 풍미
6,000원","이미지 준비중
에스프레소 도피오 (더블샷)
4,500원","이미지 준비중
스페셜티 아메리카노
4,500원","이미지 준비중
사케라또
달콤 쌉사름한 아이스 에스프레소
4,800원","이미지 준비중
플랫 화이트
5,000원","이미지 준비중
카푸치노
풍성한 우유거품&라떼보다 커피맛이 조금 강함
5,000원","이미지 준비중
카페라떼
에스프레소와 실키폼 밀크로 부드러움이 가득한 커피
5,000원","이미지 준비중
바닐라라떼
5,500원","이미지 준비중
카라멜 브라우니 라떼
5,500원","이미지 준비중
카페모카
다크 초몰릿이 들어간 풍부한 바디의 카페모카
5,500원","이미지 준비중
아메리카노 리필
(1인 1주문 시)
2,500원","이미지 준비중
에스프레소 샷 추가
1,000원","이미지 준비중
아메리카노 테이크 아웃
3,500원","이미지 준비중
카페 소다
콜드브루와 라임, 탄산의 만남
5,500원","이미지 준비중
느린 핸드드립
에티오피아 스페셜티 원두로 블랜딩한 느린의 하우스 블랜딩 커피
5,500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
촌놈의짬뽕 합포구점,"짜장
짜장
5,500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이차돌 경남대점,,,,,"차돌박이 대표한상
25,900원
주문하기","내맘대로 한상
14,900원
주문하기","2차돌 한상
24,900원
주문하기","차돌삼겹 한상
24,900원
주문하기","부채살 스테이크
12,900원
주문하기",,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김밥나라신마산점,,,,,"스페셜떡볶이
6,000원
주문하기","원조김밥
2,500원
주문하기","등심돈까스
6,500원
주문하기","김치볶음밥
6,000원
주문하기","비빔밥
5,500원
주문하기","제육덮밥
6,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소문난아구집,"아구찌개
대표
12,000원","아구매운탕
11,000원","아구찜 소
20,000원","아구찜 중
27,000원","아구찜 대
35,000원","아구수육 소
50,000원","아구수육 중
60,000원","아구수육 대
70,000원","아구탕
9,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가마치통닭 번개시장점,,,,,"가마치통닭(한마리)
8,000원
주문하기","조각닭(양념)
13,000원
주문하기","조각닭(간장)
13,000원
주문하기","조각닭(후라이드)
11,000원
주문하기","야채똥집튀김
10,000원
주문하기","모듬스폐셜(반마리)
15,000원
주문하기","모듬스폐셜(한마리)
19,000원
주문하기","모듬감자튀김
8,000원
주문하기","무뼈닭발튀김(후라이드)
10,000원
주문하기","무뼈닭발튀김(양념)
12,000원
주문하기","무뼈닭발튀김(간장)
12,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공차 경남대점,"망고요구르트+화이트펄
5,500원","자몽 그린티 에이드+알로에
4,500원","허니 자몽티+알로에
4,800원","더블그린카페라떼+펄
4,800원","밀크폼 아메리카노+펄
4,300원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김박곱창,,,,,"불고기한판세트
18,000원
주문하기","불고기물냉세트(소(고기350g))
17,000원
주문하기","불고기물냉세트(중(고기700g))
22,000원
주문하기","불고기물냉세트(대(고기1kg))
26,000원
주문하기","불고기비냉세트(소(고기350g))
17,000원
주문하기","불고기비냉세트(중(고기700g))
22,000원
주문하기","불고기비냉세트(대(고기1kg))
26,000원
주문하기","실속세트(다필요없고 냉면과 고기(350g)(물냉2 고기)
19,000원
주문하기","실속세트(다필요없고 냉면과 고기(350g)(물냉1 비냉1 고기)
19,000원
주문하기","실속세트(다필요없고 냉면과 고기(350g)(비냉2 고기)
19,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원탁가라오케,"맥주
맥주
5,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맥도날드 신마산점,"빅맥® 세트
빅맥® 세트
100% 순 쇠고기 패티 두 장에 빅맥®만의 특별한 소스 입안에서 살살 녹는 치즈와 신선한 양상추, 양파, 그리고 피클까지 50년 넘게 전 세계인의 입맛을 사로 잡은 버거의 대명사
변동","맥스파이시® 상하이 버거 세트
맥스파이시® 상하이 버거 세트
매콤한 시즈닝을 입힌 100% 닭가슴 통살 위에 아삭아삭한 양상추와 신선한 토마토~ 겉은 바삭, 속은 부드러운 치킨 패티의 매콤함으로 입맛도 기분도 화끈하게!
변동","1955 버거™ 세트
1955 버거™ 세트
113g 두툼한 순 쇠고기 패티, 더 풍성해진 신선한 양상추, 깊은 풍미의 그릴드 어니언까지! 맥도날드가 처음 생긴 1955년의 맛을 담은 영원한 오리지널 1955 버거
변동","불고기 버거 세트
불고기 버거 세트
한국인의 입맛에 딱 맞는 불고기 소스에 잘 재운 패티와 고소한 마요네즈, 신선한 양상추의 맛있는 조합.
변동","슈슈 버거 세트
슈슈 버거 세트
탱~글한 통새우살 가득~ 슈슈 버거
변동","베이컨 토마토 디럭스 세트
베이컨 토마토 디럭스 세트
더욱 풍부하고 신선한 맛의 프리미엄 버거
변동",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청년피자 합포점,,,,,"(신메뉴)토핑농장
24,900원
주문하기","(인기)에그콘피자
20,900원
주문하기","(인기)매드쉬림프
20,900원
주문하기","불사조 킹쉬림프
17,900원
주문하기","C. (인기)프리미엄R + 청피스틱 세트
27,000원
주문하기","(인기)오리지널L+(국내산)오븐베이크치킨(택1)+음료
30,900원
주문하기",,,,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달곰김밥 경남대점,김밥류,식사류,돈까스류,면류,별미,계절메뉴,음료,"달곰김밥
단무지, 햄, 맛살, 계란, 시금치, 당근, 우엉
3,500원","옛날김밥
단무지, 햄, 맛살, 계란, 시금치, 당근, 간장어묵
3,000원","치즈김밥
4,000원","돈까스김밥
4,000원","매운돈까스김밥
4,000원","참치김밥
4,000원","땡초김밥
4,000원","김치김밥
4,000원","달곰매운김밥
4,000원","떡갈비김밥
4,000원","새우김밥
4,000원","꼬마김밥
달곰김밥 절반크기
2,800원","콩나물비빔밥(계란후라이포함)
5,500원","떡국
6,000원","만두백반
만두국+밥반공기
6,500원","떡만두국
6,500원","볶음밥 (계란후라이포함)
6,500원","새우볶음밥 (계란후라이포함)
7,000원","김치볶음밥 (계란후라이포함)
7,000원","오무라이스
7,000원","순두부찌개
공기밥 포함
6,500원","참치김치찌개
공기밥 포함
7,000원","김치찌개
공기밥 포함
7,000원","된장찌개
공기밥 포함
7,000원","제육덮밥 (계란후라이포함)
7,000원","참치김치덮밥 (계란후라이포함)
7,000원","오징어덮밥 (계란후라이포함)
8,000원","육개장
공기밥 포함
7,500원","뚝불고기
공기밥 포함
8,000원","갈비탕
공기밥 포함
7,500원","공기밥
1,000원","계란후라이
700원","등심돈까스
7,500원","치즈돈까스
8,500원","고구마돈까스
8,500원","진라면
치즈/만두/떡 사리추가시 각1,000
3,500원","신라면
치즈/만두/떡 사리추가시 각1,000
4,000원","오동통면
치즈/만두/떡 사리추가시 각1,000
4,000원","우동
5,500원","김치우동
6,500원","새우튀김우동
6,500원","잔치국수
5,500원","비빔국수
6,000원","쫄면
5,500원","떡볶이
5,000원","화산떡볶이
첫맛부터 화산폭발~(~(많이 매워요~)
6,000원","비빔만두
만두피+야채
7,000원","쫄만두
쫄면+비빔만두
9,000원","고기왕만두
4개
5,000원","물만두
15개
3,500원","새우튀김
4마리
4,500원","어묵탕
4,000원","냉모밀국수
6,500원","물냉면
6,500원","비빔냉면
7,000원","콜라
2,000원","사이다
2,000원","환타
2,000원"
